muscle,F_max,l_opt,l_slack,v_max,W,C,N,K,E_REF
addbrev_r,584.236586571704,0.10240840968869457,0.03481194878291155,10.000000000000002,0.7404351452055306,-1.2564254646275186,1.5000000911641171,5.00000009116412,0.040000099500000004
addlong_r,855.3647163554829,0.10572938250757181,0.1299649601872208,10.000000001714831,0.7404351452055306,-1.2564254646275186,1.5000000911641171,5.00000009116412,0.040000099500000004
addmagDist_r,550.5791175512761,0.16875690713517985,0.08568877401844505,10.00000000081277,0.7404351452055306,-1.2564254646275186,1.5000000911641171,5.00000009116412,0.040000099500000004
addmagIsch_r,550.4973036145474,0.17180436778599154,0.19892943517967354,10.000000000000012,0.7404351452055306,-1.2564254646275186,1.5000000911641171,5.00000009116412,0.040000099500000004
addmagMid_r,550.4928915749892,0.1312664935197346,0.04580387381034973,10.000000015343877,0.7404351452055306,-1.2564254646275186,1.5000000911641171,5.00000009116412,0.040000099500000004
addmagProx_r,538.0551182613211,0.09928665619497044,0.03888917155492365,10.000000076248476,0.7404351452055306,-1.2564254646275186,1.5000000911641171,5.00000009116412,0.040000099500000004
bflh_r,1206.2880395064635,0.09542045739652004,0.3257093299119349,10.00000005600175,0.9334415383481626,-3.2141537297574354,1.5000000665578797,5.000000066826026,0.04000003810408412
bfsh_r,505.3293447064984,0.10425209627271026,0.11502434483612788,15.000000000177602,0.7667513160123838,-1.7965310820407197,1.5000000001776024,5.000000000177602,0.040000000095342735
edl_r,545.109732596365,0.0761742952009894,0.3606594567375691,10.0000000004975,0.6392720936244161,-2.1864338673644843,1.5000000004975,5.0000000004975,0.04000000000000001
ehl_r,260.09831090220905,0.08226612706876858,0.3181650720032479,10.000000000499591,0.6399831306676861,-2.245837135718902,1.5000000004995917,5.0000000004995915,0.04000000000000001
fdl_r,381.0159853114674,0.0446644303964724,0.37754788914734433,10.000000099999998,0.7106307176008355,-2.2956447487653384,1.500000099999999,5.000000099999999,0.04000004907351929
fhl_r,809.6357980140316,0.05271804195490936,0.3526390489331718,10.000000000073113,0.706040200410631,-2.1484079131679232,1.500000000073113,5.000000000073113,0.040000003339170545
gaslat_r,1463.3101510281167,0.05920006677647216,0.374076627637291,10.000000035258624,0.7487664013195299,-1.8883999262107676,1.5000000657161283,5.0000000658363035,0.04000009178729531
gasmed_r,2867.668998478368,0.05108894290227299,0.39774006617138685,10.000000043454245,0.7487664013195299,-1.8883999262107676,1.5000000657161283,5.0000000658363035,0.04000009178729531
glmax1_r,877.8682168966319,0.1391313078927983,0.04755684853875218,10.000000099987227,0.7067655594029132,-1.0487911014384657,1.5000000997840321,5.000000099784033,0.040000006131459424
glmax2_r,1248.7944040171396,0.14686729217834285,0.06483409041145502,10.000000001371218,0.7067655594029132,-1.0487911014384657,1.5000000997840321,5.000000099784033,0.040000006131459424
glmax3_r,838.8397585232136,0.15593847893823712,0.06642991838316638,10.000000099953507,0.7067655594029132,-1.0487911014384657,1.5000000997840321,5.000000099784033,0.040000006131459424
glmed1_r,978.6238205012492,0.0684913344469176,0.05348922889182131,10.000000000005,0.7438530544863963,-1.2082653038093474,1.5000000000000002,5.000000000000001,0.040000093825363923
glmed2_r,683.2438795950665,0.06894620988126925,0.06286677533754104,10.000000099903914,0.7438530544863963,-1.2082653038093474,1.5000000000000002,5.000000000000001,0.040000093825363923
glmed3_r,781.097595799114,0.06850324182944509,0.04341156428520351,10.000000000626498,0.7438530544863963,-1.2082653038093474,1.5000000000000002,5.000000000000001,0.040000093825363923
glmin1_r,345.34901202683403,0.0668114724828769,0.015998972768948818,10.000000000000002,0.7214765332157738,-2.3606723330598567,1.5000000000000002,5.000000000000001,0.0400000004975
glmin2_r,370.86451635005926,0.053876709358138264,0.025920299571532225,10.000000001850246,0.7748478143021162,-3.3786472798375144,1.5000000002775369,5.000000000925123,0.04000000008284916
glmin3_r,419.4122623213127,0.041788952757559956,0.04710702729216335,10.000000099999998,0.6467873400410252,-2.5529399636413554,1.500000099999999,5.000000099999999,0.04000000000000001
grac_r,260.2728720660388,0.2379388432507299,0.15481334500742724,10.000000000000295,0.6810130097360759,-2.3717563048924197,1.5000000000002953,5.000000000000296,0.04000000000000001
iliacus_r,919.4805595341408,0.10110516217115066,0.09312491955700111,10.000000000754818,0.8124891983264516,-1.7949040005299226,1.500000045784791,5.000000045785271,0.040000027205943756
