muscle,F_max,l_opt,l_slack,v_max,W,C,N,K,E_REF
addbrev_r,613.3634684223863,0.08763526416705272,0.033677802511373825,10.000000000000002,0.5134218969324054,-1.1532586674435568,1.5000000000000002,5.000000000000001,0.40980138880616757
addlong_r,943.9877125467756,0.1007646432548454,0.13837312486117295,10.00000003479818,0.5476177672174576,-0.8285790398035393,1.500000034238372,5.000000034468884,0.08972401160789978
addmagDist_r,555.1356555138401,0.15140666350558832,0.08305061458256519,10.000000050746936,0.7052821653012126,-2.72960563782917,1.5000000507469262,5.000000050746931,0.23303064185851538
addmagIsch_r,560.0611322881115,0.13408428014009655,0.2091156175009168,10.000000099999987,0.6992406699720781,-2.8401041014584627,1.5000000999999876,5.000000099999988,0.1304076736589866
addmagMid_r,553.2377401755048,0.11705158525064244,0.04435872710690094,10.00000000003323,0.7138543195538112,-2.7002895701472847,1.5000000000332303,5.000000000033229,0.29889025523933177
addmagProx_r,528.7148696031352,0.09367522258818632,0.0394758547986207,10.000000000197092,0.7224759597274188,-2.3493336972621344,1.5000000000295637,5.000000000098546,0.0447347535998895
bflh_r,1238.045023298478,0.08977149256405524,0.3241778754800455,10.00000005993052,0.7256375298729796,-3.7817074142662657,1.5000000595864817,5.000000059728142,0.06996551433177874
bfsh_r,506.52293954096024,0.09382109139486763,0.1005935328339818,10.000000042280634,0.7329079991970493,-2.8542954473376443,1.5000000422806194,5.000000042280625,0.1560818766927568
edl_r,560.5247280835573,0.061042491242551254,0.35881443414264297,10.000000099997512,0.7216624040395361,-3.5342052918616296,1.5000000999975125,5.0000000999975125,0.08147134394175944
ehl_r,266.1240236697266,0.06395918295727257,0.3205832351712803,10.000000099502499,0.7512670403539432,-3.437884818472842,1.5000000995025,5.0000000995025005,0.08105190028975696
fdl_r,393.2068701706746,0.038030619326517696,0.3724267536102776,10.000000000499988,0.6912264314913695,-2.7591420181967448,1.5000000004999878,5.000000000499988,0.07103464881539505
fhl_r,835.9444932684657,0.04480694933823491,0.34636577626059917,10.000000000000012,0.7015392324370022,-2.8191854588428678,1.5000000000000124,5.000000000000012,0.07915552452187057
gaslat_r,1522.6681222231475,0.060719083809399756,0.36447100291464424,10.000000000497513,0.6023865040595419,-1.9120764335430793,1.5000000004975127,5.000000000497512,0.08669342297807024
gasmed_r,2943.052260359503,0.05049885493118407,0.3754507598410295,10.0000000005,0.6178653247302263,-3.0612370867005403,1.5000000005000005,5.0000000005,0.08550903218906655
glmax1_r,857.8774069270723,0.12543029020518898,0.08299340791762663,10.000000057179783,0.7376845771812958,-2.2968434931048924,1.500000057179784,5.000000057179784,0.1530277082471841
glmax2_r,1227.2656585813293,0.13352851824081077,0.10404857766700865,10.000000064023409,0.7421298578043138,-2.31685824679205,1.5000000639339817,5.000000063970805,0.1398016296818634
glmax3_r,813.0452241335796,0.14194999993378857,0.09785000114547178,10.000000000497511,0.7549902395846033,-2.408239673359773,1.5000000004975111,5.000000000497511,0.13098065263012287
glmed1_r,973.5113407724165,0.06502500002599869,0.05557500000755759,10.000000000008834,0.7305577258280229,-2.434534168563876,1.5000000000088376,5.000000000008844,0.16267488426888468
glmed2_r,697.7680647589784,0.07148691423564577,0.07236850844438791,10.000000034705302,0.693383244848837,-1.8969817598691023,1.500000034705304,5.000000034705304,0.17564468078947487
glmed3_r,810.6008608317542,0.06641969194621283,0.046279530039492305,10.000000039016676,0.6611794564916843,-1.5808568433365975,1.5000000389999204,5.000000039006821,0.2440291160435738
glmin1_r,349.5793218696507,0.069105034199938,0.018336285205849533,10.000000000000002,0.7098810459399748,-2.7614108730991194,1.5000000000000002,5.000000000000001,0.418035609604135
glmin2_r,376.5447237661048,0.060048793403321386,0.03094029600038038,10.000000000000002,0.6798119444480045,-2.8876246746630763,1.5000000000000002,5.000000000000001,0.21740221122224676
glmin3_r,425.972582252072,0.03166708902083554,0.046213504029385975,10.0000000004975,0.6610702299718841,-2.654525585646779,1.5000000004975,5.000000000497501,0.09810444561265828
grac_r,272.785118549017,0.1991432554520977,0.16750213887041976,10.0000000995,0.6769599338229464,-2.212993518365441,1.5000000995,5.0000000995,0.1956867414579072
iliacus_r,1021.2833889578901,0.10900330670271391,0.09883407779623002,10.000000099235823,0.4783823833756583,-0.4680803190095143,1.5000000992358236,5.000000099235824,0.08077138389927947
perbrev_r,486.40892992124117,0.03951811521774715,0.14357716208753465,10.000000099502486,0.6823552766065629,-2.6275049449941004,1.5000000995024876,5.000000099502487,0.09156025199594355
perlong_r,1039.8368933287647,0.04656094299112205,0.3296904114811071,10.00000004526496,0.6739058630827995,-2.351618217246804,1.5000000447950157,5.000000044988523,0.05179094280386256
piri_r,995.9138269254869,0.02324081760134049,0.1128052172779399,10.000000000499988,0.6424852294639256,-2.1145855982215513,1.5000000004999876,5.000000000499988,0.08009454128790666
psoas_r,1303.0552839239024,0.09936515382977967,0.09457167360900079,10.000000000000002,0.5386260545965028,-1.3508488989120901,1.5000000000000002,5.000000000000001,0.14326245797124584
recfem_r,2012.1040390909982,0.07157941129918845,0.4451554395133653,10.000000033764996,0.940549485066219,-6.1761648479870175,1.500000033764772,5.00000003376486,0.05458412346901235
sart_r,239.24442726759585,0.3552418889826216,0.12200956503574899,10.000000000000002,0.6621080651853519,-2.5136499289267986,1.5000000000000002,5.000000000000001,0.2710375608210675
semimem_r,2031.6919701047902,0.07431354310632474,0.32167451888417986,10.000000099500012,0.7543029794025962,-3.9174637554662395,1.5000000995000125,5.000000099500013,0.1014841501847821
