mtu_length,0.00000
0.04662770,0.00000000
0.05368924,0.00000000
0.06075078,0.00000000
0.06781232,0.00004763
0.07487385,0.02496251
0.08193539,0.27829765
0.08899693,0.70585054
0.09605847,1.20156843
0.10312001,1.73795017
0.11018155,2.30087386
0.11724308,2.88152923
0.12430462,3.47190939
0.13136616,4.05558962
0.13842770,4.54847179
0.14548924,4.85221401
0.15255078,5.10018398
0.15961232,5.33784707
0.16667385,5.57296117
0.17373539,5.79326188
0.18079693,5.84378122
0.18785847,9.07931717
0.19492001,15.02576760
0.20198155,22.22000141
0.20904308,32.87279615
0.21610462,49.80752302
0.22316616,75.23865421
0.23022770,109.57084604
0.23728924,152.30905633
0.24435078,203.60762611
0.25141232,264.11355804
0.25847385,333.87215092
0.26553539,410.99508361
0.27259693,492.23852735
0.27965847,575.17276417
0.28672001,658.48802071
0.29378155,741.88158796
0.30084308,825.34757860
0.30790462,908.94259884
0.31496616,992.86162852
0.32202770,1076.83887693
